,MSD,form,eng_gloss,gitksan_gloss,morph,paradigm_i
0,ROOT,ayooK,law,ayooK,ayook̲,0
1,ROOT;3.II,ayooKt,law-3.II,ayooK-3.II,ayook̲-t,0
2,ROOT;1PL.II,ayooGa'm,law-1PL.II,ayooK-1PL.II,ayook̲-'m,0
3,ROOT;3PL.II,ayooKdiit,law-3PL.II,ayooK-3PL.II,ayook̲-diit,0
1,ROOT,'nekw,lon,'nekw,'nekw,3
2,ROOT;PL,'niiluxw,long.PL,'niiluxw.PL,'niiluxw,3
4,ROOT;SX,'negwit,long-SX,'nekw-SX,'nekw-it,3
5,ROOT;3.II,'nekwt,long-3.II,'nekw-3.II,'nekw-t,3
0,ROOT,wil,be/do,wil,wil,4
1,ROOT;SX,wilt,be/do-SX,wil-SX,wil-it,4
2,ROOT;3PL,wilda,be/do-3PL,wil-3PL,wil-da,4
3,ROOT;3.II,wilt,be/do-3.II,wil-3.II,wil-t,4
4,ROOT;1PL.II,wili'm,be/do-1PL.II,wil-1PL.II,wil-'m,4
5,ROOT;2PL.II,wilsi'm,be/do-2PL.II,wil-2PL.II,wil-si'm,4
7,ROOT;3PL.II,wildiit,be/do-3PL.II,wil-3PL.II,wil-diit,4
8,ROOT;2SG.II,win,be/do-2SG.II,wil-2SG.II,wil-n,4
9,ROOT;1SG.II,wili'y,be/do-1SG.II,wil-1SG.II,wil-'y,4
0,ROOT,'nu'w,die,'nu'w,'nu'w,5
1,ROOT;PL,dexw,die.PL,dexw.PL,dexw,5
2,ROOT;SX,'nu'wit,die-SX,'nu'w-SX,'nu'w-it,5
4,ROOT;3.II,'nu'wt,die-3.II,'nu'w-3.II,'nu'w-t,5
5,ROOT;PL;SX,dexwit,die.PL-SX,dexw.PL-SX,dexw-it,5
6,ROOT;3PL.II,'nu'wdiit,die-3PL.II,'nu'w-3PL.II,'nu'w-diit,5
7,ROOT;PL;3.II,dexwt,die.PL-3.II,dexw.PL-3.II,dexw-t,5
8,ROOT;PL;3PL.II,dexwdiit,die.PL-3PL.II,dexw.PL-3PL.II,dexw-diit,5
0,ROOT,sdik'eekw,siblin,sdik'eekw,sdik'eekw,6
1,ROOT;3.II,sdik'eekwt,sibling-3.II,sdik'eekw-3.II,sdik'eekw-t,6
2,ROOT;2SG.II,sdik'eegwin,sibling-2SG.II,sdik'eekw-2SG.II,sdik'eekw-n,6
0,ROOT,neks,spouse,neks,neks,7
2,ROOT;PL,niiniks,spouse.PL,niiniks.PL,niiniks,7
4,ROOT;ATTR,neksim,spouse-ATTR,neks-ATTR,neks-m,7
6,ROOT;3.II,nekst,spouse-3.II,neks-3.II,neks-t,7
0,ROOT,hlguuhlxw,offsprin,hlguuhlxw,hlguuhlxw,9
1,ROOT;PL,hlgi,offspring.PL,hlgi.PL,hlgi,9
2,ROOT;ATTR,hlguuhlxum,offspring-ATTR,hlguuhlxw-ATTR,hlguuhlxw-m,9
3,ROOT;1SG.II,hlguuhlxwi'y,offspring-1SG.II,hlguuhlxw-1SG.II,hlguuhlxw-'y,9
5,ROOT;PL;ATTR,hlgim,offspring.PL-ATTR,hlgi.PL-ATTR,hlgi-m,9
6,ROOT;PL;3.II,hlgit,offspring.PL-3.II,hlgi.PL-3.II,hlgi-t,9
7,ROOT;PL;1SG.II,hlgi'y,offspring.PL-1SG.II,hlgi.PL-1SG.II,hlgi-'y,9
8,ROOT;PL;3PL.II,hlgidiit,offspring.PL-3PL.II,hlgi.PL-3PL.II,hlgi-diit,9
1,ROOT,we,man's.brother,we,wek,10
3,ROOT;3.II,wekt,man's.brother-3.II,wek-3.II,wek-t,10
4,ROOT;1SG.II,wegi'y,man's.brother-1SG.II,wek-1SG.II,wek-'y,10
1,ROOT,wa,name,we,wa,11
2,ROOT;SX,wat,name-SX,we-SX,wa-it,11
3,ROOT;3.II,wat,name-3.II,we-3.II,wa-t,11
5,ROOT;1PL.II,wa'm,name-1PL.II,we-1PL.II,wa-'m,11
6,ROOT;3PL.II,wadiit,name-3PL.II,we-3PL.II,wa-diit,11
7,ROOT;1SG.II,we'y,name-1SG.II,we-1SG.II,we-'y,11
8,ROOT;PL;3.II,huwat,PL~name-3.II,PL~we-3.II,hu~wa-t,11
0,ROOT,hanaK',woman,hanaK',hanak̲',12
1,ROOT;PL,haanaK',woman.PL,haanaK'.PL,haanak̲',12
2,ROOT;3.II,hanaK't,woman-3.II,hanaK'-3.II,hanak̲'-t,12
3,ROOT;1SG.II,hanaK'a'y,woman-1SG.II,hanaK'-1SG.II,hanak̲'-'y,12
0,ROOT,sins,blind,sins,sins,13
1,ROOT;3.II,sinst,blind-3.II,sins-3.II,sins-t,13
0,ROOT,hugwaX,correct,hugwaX,hugwax̲,14
3,ROOT;ATTR,hogaXam,correct-ATTR,hugwaX-ATTR,hogax̲-m,14
5,ROOT;3.II,hugwaXt,correct-3.II,hugwaX-3.II,hugwax̲-t,14
6,ROOT;3PL.II,hogaXdiit,correct-3PL.II,hugwaX-3PL.II,hogax̲-diit,14
0,ROOT,am,good,am,am,16
1,ROOT;SX,aamit,good-SX,am-SX,am-it,16
3,ROOT;ATTR,ama,good-ATTR,am-ATTR,am-a,16
4,ROOT;3.II,amt,good-3.II,am-3.II,am-t,16
5,ROOT;PL;SX,am'amit,PL~good-SX,PL~am-SX,CVC~am-it,16
6,ROOT;PL;ATTR,am'ama,PL~good-ATTR,PL~am-ATTR,CVC~am-a,16
7,ROOT;PL;3.II,am'amt,PL~good-3.II,PL~am-3.II,CVC~am-t,16
0,ROOT,loK,rotten,loK,lok̲,17
1,ROOT;ATTR,loGa,rotten-ATTR,loK-ATTR,lok̲-a,17
3,ROOT;3.II,loKt,rotten-3.II,loK-3.II,lok̲-t,17
0,ROOT,swit,sweetheart,swit,swit,18
1,ROOT;3.II,switt,sweetheart-3.II,swit-3.II,swit-t,18
0,ROOT,mahl,tell,mehl,mahl,20
2,ROOT;3PL.II,mahldiit,tell-3PL.II,mehl-3PL.II,mahl-diit,20
0,ROOT,'wii,bi,'wii,'wii,21
1,ROOT;PL,'wiidaX,big.PL,'wiidaX.PL,'wiidax̲,21
0,ROOT,t'is,large,t'is,t'is,22
1,ROOT;SX,t'isit,large-SX,t'is-SX,t'is-it,22
2,ROOT;ATTR,t'isim,large-ATTR,t'is-ATTR,t'is-m,22
3,ROOT;3.II,t'ist,large-3.II,t'is-3.II,t'is-t,22
0,ROOT,aks,water,aks,aks,23
1,ROOT;3PL.II,aksdiit,water-3PL.II,aks-3PL.II,aks-diit,23
0,ROOT,joK,dwell,joK,jok̲,25
2,ROOT;SX,joGot,dwell-SX,joK-SX,jok̲-it,25
3,ROOT;3.II,joKt,dwell-3.II,joK-3.II,jok̲-t,25
5,ROOT;PL;SX,jaXjoGot,PL~dwell-SX,PL~joK-SX,CVC~jok̲-it,25
6,ROOT;1PL.II,joGo'm,dwell-1PL.II,joK-1PL.II,jok̲-'m,25
7,ROOT;3PL.II,joKdiit,dwell-3PL.II,joK-3PL.II,jok̲-diit,25
8,ROOT;1SG.II,joGo'y,dwell-1SG.II,joK-1SG.II,jok̲-'y,25
9,ROOT;PL;3.II,jaXjoKt,PL~dwell-3.II,PL~joK-3.II,CVC~jok̲-t,25
10,ROOT;PL;1PL.II,jaXjoGo'm,PL~dwell-1PL.II,PL~joK-1PL.II,CVC~jok̲-'m,25
11,ROOT;PL;3PL.II,jaXjoKdiit,PL~dwell-3PL.II,PL~joK-3PL.II,CVC~jok̲-diit,25
0,ROOT,t'aa,sit,t'aa,t'aa,26
2,ROOT;PL,wan,sit.PL,wen.PL,wan,26
3,ROOT;SX,t'aat,sit-SX,t'aa-SX,t'aa-it,26
5,ROOT;ATTR,t'aam,sit-ATTR,t'aa-ATTR,t'aa-m,26
6,ROOT;3.II,t'aat,sit-3.II,t'aa-3.II,t'aa-t,26
7,ROOT;PL;SX,wanit,sit.PL-SX,wen.PL-SX,wan-it,26
10,ROOT;2SG.II,t'aan,sit-2SG.II,t'aa-2SG.II,t'aa-n,26
12,ROOT;PL;3.II,want,sit.PL-3.II,wen.PL-3.II,wan-t,26
13,ROOT;PL;1PL.II,wani'm,sit.PL-1PL.II,wen.PL-1PL.II,wan-'m,26
15,ROOT;PL;3PL.II,wandiit,sit.PL-3PL.II,wen.PL-3PL.II,wan-diit,26
0,ROOT,helt,many,helt,helt,27
2,ROOT;SX,heldit,many-SX,helt-SX,helt,27
3,ROOT;3PL,heltda,many-3PL,helt-3PL,helt-da,27
4,ROOT;ATTR,helda,many-ATTR,helt-ATTR,helt-a,27
6,ROOT;3.II,heltt,many-3.II,helt-3.II,helt-t,27
7,ROOT;3PL.II,heltdiit,many-3PL.II,helt-3PL.II,helt-diit,27
1,ROOT,dilst,live,dils,dilst,29
2,ROOT;PL;SX,dildilsit,PL~live-SX,PL~dils-SX,CVC~dils-it,29
3,ROOT;PL;1PL.II,didilsdi'm,PL~live-1PL.II,PL~dils-1PL.II,CV~dilst-'m,29
4,ROOT;PL;3PL.II,dildilsdiit,PL~live-3PL.II,PL~dils-3PL.II,CVC~dils-diit,29
0,ROOT,Xde,be.hungry,Xde,x̲dex,30
2,ROOT;3.II,xwdaxt,be.hungry-3.II,Xdex-3.II,xwdax-t,30
3,ROOT;1PL.II,Xdeyi'm,be.hungry-1PL.II,Xdex-1PL.II,x̲dex-'m,30
4,PL;ROOT;3PL.II,luxdaxdiit,PL-be.hungry-3PL.II,PL-Xdex-3PL.II,li-xwdax-diit,30
0,ROOT,a'w,whine,a'w,a'w,31
1,ROOT;3PL.II,a'widiit,whine-3PL.II,a'w-3PL.II,a'w-diit,31
3,ROOT,agu,what,agu,agu,32
4,ROOT;3.II,agut,what-3.II,agu-3.II,agu-t,32
0,ROOT,hun,salmon,hun,hun,34
1,ROOT;3.II,hunt,salmon-3.II,hun-3.II,hun-t,34
1,ROOT,sma,bear,sme,smax,35
2,ROOT;3.II,smaxt,bear-3.II,smex-3.II,smax-t,35
3,ROOT;3PL.II,smaxdiit,bear-3PL.II,smex-3PL.II,smax-diit,35
0,ROOT,maa'y,berry,maa'y,maa'y,37
1,ROOT;1PL.II,maa'yi'm,berry-1PL.II,maa'y-1PL.II,maa'y-'m,37
0,ROOT,sgi,lie.on,sgi,sgi,38
1,ROOT;PL,doX,lie.on.PL,doX.PL,dox̲,38
2,ROOT;SX,sgit,lie.on-SX,sgi-SX,sgi-it,38
3,ROOT;3.II,sgit,lie.on-3.II,sgi-3.II,sgi-t,38
4,ROOT;PL;SX,dohot,lie.on.PL-SX,doX.PL-SX,dox̲-it,38
5,ROOT;3PL.II,sgidiit,lie.on-3PL.II,sgi-3PL.II,sgi-diit,38
6,ROOT;PL;3.II,doXt,lie.on.PL-3.II,doX.PL-3.II,dox̲-t,38
7,ROOT;PL;3PL.II,doXdiit,lie.on.PL-3PL.II,doX.PL-3PL.II,dox̲-diit,38
0,ROOT,yuxw,follow,yuxw,yuxw,39
1,ROOT;3.II,yuxwt,follow-3.II,yuxw-3.II,yuxw-t,39
3,ROOT;3PL.II,yuxwdiit,follow-3PL.II,yuxw-3PL.II,yuxw-diit,39
5,ROOT;TR;3.II,yuxwit,follow-TR-3.II,yuxw-TR-3.II,yuxw-i-t,39
6,ROOT;TR;1SG.II,yuwi'y,follow-TR-1SG.II,yuxw-TR-1SG.II,yuxw-i-'y,39
0,ROOT,k'ap,ten,k'ap,k'ap,40
1,ROOT;3.II,k'apt,ten-3.II,k'ap-3.II,k'ap-t,40
0,ROOT,Gabii,how.many,Gabi,g̲abi,41
2,ROOT;SX,Gabiit,how.many-SX,Gabi-SX,g̲abi-it,41
4,ROOT;3.II,Gabiit,how.many-3.II,Gabi-3.II,g̲abi-t,41
5,ROOT;3PL.II,Gabidiit,how.many-3PL.II,Gabi-3PL.II,g̲abi-diit,41
0,ROOT,liluxws,steal,liluxws,liluxws,42
1,ROOT;3.II,liluxwst,steal-3.II,liluxws-3.II,liluxws-t,42
2,ROOT;2PL.II,liluxwsisi'm,steal-2PL.II,liluxws-2PL.II,liluxws-si'm,42
3,ROOT;3PL.II,liluxwsdiit,steal-3PL.II,liluxws-3PL.II,liluxws-diit,42
1,ROOT,jekw,kill,jekw,jekw,43
2,ROOT;3PL.II,jekwdiit,kill-3PL.II,jekw-3PL.II,jekw-diit,43
0,ROOT,liseexw,discuss,liseexw,liseexw,44
1,ROOT;3PL.II,liseexwdiit,discuss-3PL.II,liseexw-3PL.II,liseexw-diit,44
0,ROOT,ky'ul,one.HUM,ky'ul,ky'ul,46
1,ROOT;SX,ky'ult,one.HUM-SX,ky'ul-SX,ky'ul-it,46
2,ROOT;3.II,ky'ult,one.HUM-3.II,ky'ul-3.II,ky'ul-t,46
3,ROOT;3PL.II,ky'uldiit,one.HUM-3PL.II,ky'ul-3PL.II,ky'ul-diit,46
0,ROOT,get,man,get,get,47
2,ROOT;PL,ii'wxwt,man.PL,ii'wxwt.PL,ii'wxwt,47
3,ROOT;3.II,gett,man-3.II,get-3.II,get-t,47
4,ROOT;1SG.II,gedi'y,man-1SG.II,get-1SG.II,get-'y,47
0,ROOT,kwsdins,five,kwsdins,kwsdins,48
2,ROOT;SX,kwsdinsit,five-SX,kwsdins-SX,kwsdins-it,48
3,ROOT;3.II,kwsdinst,five-3.II,kwsdins-3.II,kwsdins-t,48
0,ROOT,amGoo,remember,amGoo,amg̲oo,49
1,ROOT;3.II,amGoot,remember-3.II,amGoo-3.II,amg̲oo-t,49
0,ROOT,yee,go,yee,yee,52
1,ROOT;PL,hlo'o,go.PL,hlo'o.PL,hlo'o,52
2,ROOT;3.II,yeet,go-3.II,yee-3.II,yee-t,52
4,ROOT;PL;SX,hlo'ot,go.PL-SX,hlo'o.PL-SX,hlo'o-it,52
5,ROOT;PL;3.II,hlo'ot,go.PL-3.II,hlo'o.PL-3.II,hlo'o-t,52
6,ROOT;PL;1PL.II,hlo'o'm,go.PL-1PL.II,hlo'o.PL-1PL.II,hlo'o-'m,52
7,ROOT;PL;3PL.II,hlo'odiit,go.PL-3PL.II,hlo'o.PL-3PL.II,hlo'o-diit,52
0,ROOT,giihl,lie.down,giihl,giihl,54
1,ROOT;PL,laahl,lie.down.PL,laahl.PL,laahl,54
2,ROOT;3.II,giihlt,lie.down-3.II,giihl-3.II,giihl-t,54
3,ROOT;1SG.II,giihli'y,lie.down-1SG.II,giihl-1SG.II,giihl-'y,54
4,ROOT;PL;1PL.II,laahli'm,lie.down.PL-1PL.II,laahl.PL-1PL.II,laahl-'m,54
5,ROOT;PL;3PL.II,laahldiit,lie.down.PL-3PL.II,laahl.PL-3PL.II,laahl-diit,54
0,ROOT,'witxw,arrive,'witxw,'witxw,56
2,ROOT;PL,bekw,arrive.PL,bekw.PL,bekw,56
4,ROOT;SX,'witxwit,arrive-SX,'witxw-SX,'witxw-it,56
5,ROOT;3.II,'witxwt,arrive-3.II,'witxw-3.II,'witxw-t,56
6,ROOT;1SG.II,'witxwi'y,arrive-1SG.II,'witxw-1SG.II,'witxw-'y,56
7,ROOT;PL;3.II,bekwt,arrive.PL-3.II,bekw.PL-3.II,bekw-t,56
11,ROOT;PL;1PL.II,begu'm,arrive.PL-1PL.II,bekw.PL-1PL.II,bekw-'m,56
12,ROOT;PL;3PL.II,bekwdiit,arrive.PL-3PL.II,bekw.PL-3PL.II,bekw-diit,56
0,ROOT,sim'oogit,chief,sim'oogit,sim'oogit,57
1,ROOT;3.II,sim'oogitt,chief-3.II,sim'oogit-3.II,sim'oogit-t,57
0,ROOT,he,say,he,he,58
1,ROOT;SX,heet,say-SX,he-SX,he-it,58
2,ROOT;3.II,het,say-3.II,he-3.II,he-t,58
3,ROOT;1PL.II,he'm,say-1PL.II,he-1PL.II,he-'m,58
4,ROOT;3PL.II,hediit,say-3PL.II,he-3PL.II,he-diit,58
5,ROOT;2SG.II,hen,say-2SG.II,he-2SG.II,he-n,58
6,ROOT;1SG.II,he'y,say-1SG.II,he-1SG.II,he-'y,58
0,ROOT,jep,make,jep,jep,59
3,ROOT;3.II,jept,make-3.II,jep-3.II,jep-t,59
5,ROOT;3PL.II,jepdiit,make-3PL.II,jep-3PL.II,jep-diit,59
6,ROOT;TR;3.II,jabit,make-TR-3.II,jep-TR-3.II,jap-i-t,59
8,ROOT;TR;1SG.II,jebi'y,make-TR-1SG.II,jep-TR-1SG.II,jep-i-'y,59
9,ROOT;PL;3PL.II,jipjepdiit,PL~make-3PL.II,PL~jep-3PL.II,CVC~jep-diit,59
10,ROOT;TR;2PL.II,jebisi'm,make-TR-2PL.II,jep-TR-2PL.II,jep-i-si'm,59
11,ROOT;TR;2SG.II,jebin,make-TR-2SG.II,jep-TR-2SG.II,jep-i-n,59
0,ROOT,aat'iks,come,aat'iks,aat'iks,60
2,ROOT;3.II,aat'ikst,come-3.II,aat'iks-3.II,aat'iks-t,60
0,ROOT,ts'ep,village.people,ts'ep,ts'ep,62
1,ROOT;ATTR,ts'ebim,village.people-ATTR,ts'ep-ATTR,ts'ep-m,62
2,ROOT;3.II,ts'ept,village.people-3.II,ts'ep-3.II,ts'ep-t,62
3,ROOT;3PL.II,ts'epdiit,village.people-3PL.II,ts'ep-3PL.II,ts'ep-diit,62
0,ROOT,'wa,find,'wa,'wa,63
1,ROOT;3.II,'wat,find-3.II,'wa-3.II,'wa-t,63
2,ROOT;3PL.II,'wadiit,find-3PL.II,'wa-3PL.II,'wa-diit,63
3,ROOT;TR;3.II,'wayit,find-TR-3.II,'wa-TR-3.II,'wa-i-t,63
4,ROOT;TR;1PL.II,'wayi'm,find-TR-1PL.II,'wa-TR-1PL.II,'wa-i-'m,63
0,ROOT,algaX,spea,algaX,algax̲,66
1,ROOT;3.II,algaXt,speak-3.II,algaX-3.II,algax̲-t,66
2,ROOT;1SG.II,algaXa'y,speak-1SG.II,algaX-1SG.II,algax̲-'y,66
3,ROOT;PL;3.II,hal'algaXt,PL~speak-3.II,PL~algaX-3.II,CVC~algax̲-t,66
0,ROOT,hlis,finish,hlis,hlis,68
1,ROOT;3.II,hlist,finish-3.II,hlis-3.II,hlis-t,68
0,ROOT,yukw,busy,yukw,yukw,69
1,ROOT;3.II,yukwt,busy-3.II,yukw-3.II,yukw-t,69
2,ROOT;3PL.II,yukwdiit,busy-3PL.II,yukw-3PL.II,yukw-diit,69
0,ROOT,hit,stand,hit,hit,71
2,ROOT;PL,lit,stand.PL,lit.PL,lit,71
0,ROOT,hlimoo,help,hlimoo,hlimoo,72
1,ROOT;3.II,hlimoot,help-3.II,hlimoo-3.II,hlimoo-t,72
2,ROOT;1PL.II,hlimoo'm,help-1PL.II,hlimoo-1PL.II,hlimoo-'m,72
3,ROOT;3PL.II,hlimoodiit,help-3PL.II,hlimoo-3PL.II,hlimoo-diit,72
4,ROOT;TR;1PL.II,hlimooyi'm,help-TR-1PL.II,hlimoo-TR-1PL.II,hlimoo-i-'m,72
1,ROOT,wilaa,know,halaa,wilaax,75
3,ROOT;PL,huwilaa,PL~know,PL~halaa,CV~wilaax,75
5,ROOT;3.II,wilaaxt,know-3.II,halaax-3.II,wilaax-t,75
7,ROOT;3PL.II,wilaaxdiit,know-3PL.II,halaax-3PL.II,wilaax-diit,75
8,ROOT;TR;3.II,wilaayit,know-TR-3.II,halaax-TR-3.II,wilaax-i-t,75
9,ROOT;TR;1SG.II,wilaayi'y,know-TR-1SG.II,halaax-TR-1SG.II,wilaax-i-'y,75
10,ROOT;TR;2PL.II,wilaayisi'm,know-TR-2PL.II,halaax-TR-2PL.II,wilaax-i-si'm,75
0,ROOT,guu,take,guu,guu,76
1,ROOT;PL,doK,take.PL,doK.PL,dok̲,76
2,ROOT;3.II,guut,take-3.II,guu-3.II,guu-t,76
3,ROOT;PL;3.II,doKt,take.PL-3.II,doK.PL-3.II,dok̲-t,76
5,ROOT;PL;3PL.II,doKdiit,take.PL-3PL.II,doK.PL-3PL.II,dok̲-diit,76
6,ROOT;PL;TR;3.II,doGot,take.PL-TR-3.II,doK.PL-TR-3.II,dok̲-i-t,76
7,ROOT;PL;TR;1PL.II,doGo'm,take.PL-TR-1PL.II,doK.PL-TR-1PL.II,dok̲-i-'m,76
0,ROOT,hasaK,desire,hasaK,hasak̲,79
1,ROOT;SX,hasaGat,desire-SX,hasaK-SX,hasak̲-it,79
2,ROOT;3.II,hasaKt,desire-3.II,hasaK-3.II,hasak̲-t,79
3,ROOT;1PL.II,hasaGa'm,desire-1PL.II,hasaK-1PL.II,hasak̲-'m,79
4,ROOT;2PL.II,hasaKsi'm,desire-2PL.II,hasaK-2PL.II,hasak̲-si'm,79
5,ROOT;3PL.II,hasaKdiit,desire-3PL.II,hasaK-3PL.II,hasak̲-diit,79
6,ROOT;1SG.II,hasaGa'y,desire-1SG.II,hasaK-1SG.II,hasak̲-'y,79
0,ROOT,daa'whl,leave,daa'whl,daa'whl,82
1,ROOT;PL,saks,leave.PL,seks.PL,saks,82
3,ROOT;SX,daa'whlit,leave-SX,daa'whl-SX,daa'whl-it,82
4,ROOT;3.II,daa'whlt,leave-3.II,daa'whl-3.II,daa'whl-t,82
7,ROOT;PL;SX,seksit,leave.PL-SX,seks.PL-SX,seks-it,82
8,ROOT;3PL.II,daa'whldiit,leave-3PL.II,daa'whl-3PL.II,daa'whl-diit,82
9,ROOT;PL;3.II,sekst,leave.PL-3.II,seks.PL-3.II,seks-t,82
11,ROOT;PL;3PL.II,seksdiit,leave.PL-3PL.II,seks.PL-3PL.II,seks-diit,82
0,ROOT,lukw,move.location,lukw,lukw,85
1,ROOT;3.II,lukwt,move.location-3.II,lukw-3.II,lukw-t,85
2,ROOT;3PL.II,lukwdiit,move.location-3PL.II,lukw-3PL.II,lukw-diit,85
0,ROOT,baX,run,baX,bax̲,86
1,ROOT;PL,Gol,run.PL,Gol.PL,g̲ol,86
2,ROOT;3.II,baXt,run-3.II,baX-3.II,bax̲-t,86
3,ROOT;1SG.II,baXa'y,run-1SG.II,baX-1SG.II,bax̲-'y,86
4,ROOT;PL;3.II,Golt,run.PL-3.II,Gol.PL-3.II,g̲ol-t,86
5,ROOT;PL;1PL.II,Goli'm,run.PL-1PL.II,Gol.PL-1PL.II,g̲ol-'m,86
6,ROOT;PL;3PL.II,Goldiit,run.PL-3PL.II,Gol.PL-3PL.II,g̲ol-diit,86
0,ROOT,ts'eehl,edge,ts'eehl,ts'eehl,87
1,ROOT;3.II,ts'eet,edge-3.II,ts'eehl-3.II,ts'eehl-t,87
0,ROOT,hoo,use,hoo,hoox,88
1,ROOT;3.II,hooxt,use-3.II,hoox-3.II,hoox-t,88
2,ROOT;3PL.II,hooxdiit,use-3PL.II,hoox-3PL.II,hoox-diit,88
3,ROOT;TR;3.II,hooyit,use-TR-3.II,hoox-TR-3.II,hoox-i-t,88
4,ROOT;TR;1SG.II,hooyi'y,use-TR-1SG.II,hoox-TR-1SG.II,hoox-i-'y,88
5,ROOT;TR;1PL.II,hooyi'm,use-TR-1PL.II,hoox-TR-1PL.II,hoox-i-'m,88
