,MSD,form,eng_gloss,gitksan_gloss,morph,paradigm_i
0,ROOT,'mal,canoe,'mel,'mal,89
2,ROOT;3.II,'malt,canoe-3.II,'mel-3.II,'mal-t,89
0,ROOT,ixw,line.fish,ixw,ixw,91
1,ROOT;SX,iwit,line.fish-SX,ixw-SX,ixw-it,91
2,ROOT;3.II,ixwt,line.fish-3.II,ixw-3.II,ixw-t,91
0,ROOT,waa,paddle,waa,waax,95
1,ROOT;3.II,waaxt,paddle-3.II,waax-3.II,waax-t,95
0,ROOT,wilp,house,wilp,wilp,96
1,ROOT;PL,huwilp,PL~house,PL~wilp,CV~wilp,96
2,ROOT;3.II,wilpt,house-3.II,wilp-3.II,wilp-t,96
3,ROOT;3PL.II,wilpdiit,house-3PL.II,wilp-3PL.II,wilp-diit,96
4,ROOT;PL;3.II,huwilpt,PL~house-3.II,PL~wilp-3.II,CV~wilp-t,96
0,ROOT,gin,feed,gin,gin,98
1,ROOT;3.II,gint,feed-3.II,gin-3.II,gin-t,98
2,ROOT;3PL.II,gindiit,feed-3PL.II,gin-3PL.II,gin-diit,98
0,ROOT,'mas,grow,'mes,'mas,100
2,ROOT;PL,limXs,grow.PL,limXs.PL,limx̲s,100
3,ROOT;ATTR,'mesim,grow-ATTR,'mes-ATTR,'mes-m,100
4,ROOT;3.II,'mast,grow-3.II,'mes-3.II,'mas-t,100
6,ROOT;1SG.II,'mesi'y,grow-1SG.II,'mes-1SG.II,'mes-'y,100
7,ROOT;PL;ATTR,limXsim,grow.PL-ATTR,limXs.PL-ATTR,limx̲s-m,100
0,ROOT,anooK,allow,anooK,anook̲,105
1,ROOT;3.II,anooKt,allow-3.II,anooK-3.II,anook̲-t,105
2,ROOT;1PL.II,anooGo'm,allow-1PL.II,anooK-1PL.II,anook̲-'m,105
3,ROOT;3PL.II,anooKdiit,allow-3PL.II,anooK-3PL.II,anook̲-diit,105
0,ROOT,se'e,le,se'e,se'e,106
1,ROOT;3.II,se'et,leg-3.II,se'e-3.II,se'e-t,106
2,ROOT;PL;3PL.II,sise'ediit,PL~leg-3PL.II,PL~se'e-3PL.II,si~se'e-diit,106
3,ROOT;PL;2SG.II,sise'en,PL~leg-2SG.II,PL~se'e-2SG.II,CV~se'e-n,106
0,ROOT,das,touch,des,das,107
2,ROOT;3.II,dast,touch-3.II,des-3.II,das-t,107
3,ROOT;3PL.II,desdiit,touch-3PL.II,des-3PL.II,des-diit,107
0,ROOT,gi'nam,give,gi'nam,gi'nam,108
1,ROOT;3.II,gi'namt,give-3.II,gi'nam-3.II,gi'nam-t,108
2,ROOT;3PL.II,gi'namdiit,give-3PL.II,gi'nam-3PL.II,gi'nam-diit,108
3,ROOT;TR;3.II,gi'namit,give-TR-3.II,gi'nam-TR-3.II,gi'nam-i-t,108
4,ROOT;TR;1SG.II,gi'nami'y,give-TR-1SG.II,gi'nam-TR-1SG.II,gi'nam-i-'y,108
0,ROOT,GasGoo,how.much,GasGoo,g̲asg̲oo,109
1,ROOT;SX,GasGoot,how.much-SX,GasGoo-SX,g̲asg̲oo-it,109
2,ROOT;3.II,GasGoot,how.much-3.II,GasGoo-3.II,g̲asg̲oo-t,109
0,ROOT,mo'on,salt,mo'on,mo'on,112
1,ROOT;3.II,mo'ont,salt-3.II,mo'on-3.II,mo'on-t,112
0,ROOT,sget,be.born,sget,sget,113
2,ROOT;3.II,sgett,be.born-3.II,sget-3.II,sget-t,113
0,ROOT,Gan'mala,button,Gan'mala,g̲an'mala,116
1,ROOT;3.II,Gan'malat,button-3.II,Gan'mala-3.II,g̲an'mala-t,116
0,ROOT,mesxw,red,mesxw,mesxw,117
2,ROOT;PL,mismesxw,PL~red,PL~mesxw,CVC~mesxw,117
3,ROOT;SX,masxwit,red-SX,mesxw-SX,masxw-it,117
4,ROOT;3.II,masxwt,red-3.II,mesxw-3.II,masxw-t,117
1,ROOT,wil'naat'ahl,clan,wil'naat'ehl,wil'naat'ahl,118
2,ROOT;3.II,wil'naat'ahlt,clan-3.II,wil'naat'ehl-3.II,wil'naat'ahl-t,118
4,ROOT;3PL.II,wil'naat'ahldiit,clan-3PL.II,wil'naat'ehl-3PL.II,wil'naat'ahl-diit,118
0,ROOT,gat,person,get,gat,122
2,ROOT;ATTR,gedim,person-ATTR,get-ATTR,get-m,122
3,ROOT;3.II,gatt,person-3.II,get-3.II,get-t,122
0,ROOT,ts'axw,excel,ts'axw,ts'axw,125
1,ROOT;3PL.II,ts'axwdiit,excel-3PL.II,ts'axw-3PL.II,ts'axw-diit,125
0,ROOT,t'am,mar,t'am,t'am,126
1,ROOT;3.II,t'amt,mark-3.II,t'am-3.II,t'am-t,126
2,ROOT;3PL.II,t'amdiit,mark-3PL.II,t'am-3PL.II,t'am-diit,126
3,ROOT;TR;2SG.II,t'amin,mark-TR-2SG.II,t'am-TR-2SG.II,t'am-i-n,126
0,ROOT,t'e,forget,t'e,t'ek,132
2,ROOT;3.II,t'ekt,forget-3.II,t'ek-3.II,t'ek-t,132
3,ROOT;1SG.II,t'agi'y,forget-1SG.II,t'ek-1SG.II,t'ak-'y,132
4,ROOT;TR;1SG.II,t'agi'y,forget-TR-1SG.II,t'ek-TR-1SG.II,t'ak-i-'y,132
0,ROOT,Gayt,hat,Gayt,g̲ayt,133
1,ROOT;3.II,Gaytt,hat-3.II,Gayt-3.II,g̲ayt-t,133
0,ROOT,Gooda,all.gone,Gooda,g̲ooda,134
1,ROOT;3.II,Goodat,all.gone-3.II,Gooda-3.II,g̲ooda-t,134
0,ROOT,maK,put,maK,mak̲,135
1,ROOT;PL,t'ahl,put.PL,t'ehl.PL,t'ahl,135
3,ROOT;3.II,maKt,put-3.II,maK-3.II,mak̲-t,135
4,ROOT;3PL.II,maKdiit,put-3PL.II,maK-3PL.II,mak̲-diit,135
5,ROOT;PL;3PL.II,t'ehldiit,put.PL-3PL.II,t'ehl.PL-3PL.II,t'ehl-diit,135
0,ROOT,ma'us,play,ma'us,ma'us,136
1,ROOT;PL,mihas'us,play.PL,mihas'us.PL,mihas'us,136
2,ROOT;1SG.II,ma'usi'y,play-1SG.II,ma'us-1SG.II,ma'us-'y,136
3,ROOT;PL;1PL.II,mas'usi'm,play.PL-1PL.II,mihas'us.PL-1PL.II,mihas'us-'m,136
4,ROOT;PL;2SG.II,mihas'usin,play.PL-2SG.II,mihas'us.PL-2SG.II,mihas'us-n,136
0,ROOT,GenX,path,GenX,g̲enx̲,138
1,ROOT;3.II,GenXt,path-3.II,GenX-3.II,g̲enx̲-t,138
0,ROOT,ts'atxw,sunny,ts'atxw,ts'atxw,139
1,ROOT;3.II,ts'atxwt,sunny-3.II,ts'atxw-3.II,ts'atxw-t,139
0,ROOT,hloXs,sun,hloXs,hlox̲s,140
1,ROOT;ATTR,hloXsa,sun-ATTR,hloXs-ATTR,hlox̲s-a,140
2,ROOT;3.II,hloXst,sun-3.II,hloXs-3.II,hlox̲s-t,140
1,ROOT,gudets',jacket,gwidats',gudets',143
2,ROOT;1SG.II,gudets'i'y,jacket-1SG.II,gwidats'-1SG.II,gudets'-'y,143
0,ROOT,la,fur,le,lax,144
2,ROOT;ATTR,laya,fur-ATTR,lex-ATTR,lax-a,144
3,ROOT;PL;SX,lixleyit,PL~fur-SX,PL~lex-SX,CVC~lex-it,144
0,ROOT,nibip,uncle,nibip,nibip,145
1,ROOT;1PL.II,nibibi'm,uncle-1PL.II,nibip-1PL.II,nibip-'m,145
2,ROOT;1SG.II,nibibi'y,uncle-1SG.II,nibip-1SG.II,nibip-'y,145
0,ROOT,algaX,speech,algaX,algax̲,149
1,ROOT;1PL.II,algaXa'm,speech-1PL.II,algaX-1PL.II,algax̲-'m,149
2,ROOT;3PL.II,algaXdiit,speech-3PL.II,algaX-3PL.II,algax̲-diit,149
0,ROOT,ts'uus,be.small,ts'uus,ts'uusx,150
2,ROOT;ATTR,ts'uusgim,be.small-ATTR,ts'uusx-ATTR,ts'uusk-m,150
4,ROOT;1SG.II,ts'uusgi'y,be.small-1SG.II,ts'uusx-1SG.II,ts'uusk-'y,150
0,ROOT,toost,belongings,toost,toost,151
2,ROOT;3PL.II,toosdiit,belongings-3PL.II,toost-3PL.II,toost-diit,151
0,ROOT,winee,food,winee,wineex,152
1,ROOT;3.II,wineext,food-3.II,wineex-3.II,wineex-t,152
0,ROOT,ts'in,enter,ts'in,ts'in,153
1,ROOT;3.II,ts'int,enter-3.II,ts'in-3.II,ts'in-t,153
2,ROOT;1SG.II,ts'ini'y,enter-1SG.II,ts'in-1SG.II,ts'in-'y,153
0,ROOT,noX,mother,noX,nox̲,154
1,ROOT;3.II,noXt,mother-3.II,noX-3.II,nox̲-t,154
2,ROOT;1PL.II,noXo'm,mother-1PL.II,noX-1PL.II,nox̲-'m,154
3,ROOT;3PL.II,noXdiit,mother-3PL.II,noX-3PL.II,nox̲-diit,154
4,ROOT;2SG.II,noXon,mother-2SG.II,noX-2SG.II,nox̲-n,154
7,ROOT;1SG.II,noXo'y,mother-1SG.II,noX-1SG.II,nox̲-'y,154
0,ROOT,gyoo,doc,gyoo,gyoo,158
1,ROOT;3.II,gyoot,dock-3.II,gyoo-3.II,gyoo-t,158
0,ROOT,tXalpX,four,tXalpX,tx̲alpx̲,159
1,ROOT;SX,tXalpXat,four-SX,tXalpX-SX,tx̲alpx̲-it,159
2,ROOT;1PL.II,tXalpXu'm,four-1PL.II,tXalpX-1PL.II,tx̲alpx̲-'m,159
0,ROOT,gehl,carve,gehl,gehl,160
2,ROOT;ATTR,gehlim,carve-ATTR,gehl-ATTR,gehl-m,160
1,ROOT,Gan,pole,pole,g̲an,161
2,ROOT;3.II,Gant,pole-3.II,pole-3.II,g̲an-t,161
3,ROOT;1PL.II,Gani'm,pole-1PL.II,pole-1PL.II,g̲an-'m,161
1,ROOT,k'uuhl,year,k'uuhl,k'uuhl,162
2,ROOT;PL,guk'uuhl,PL~year,PL~k'uuhl,CV~k'uuhl,162
0,ROOT,Xpts'exw,afraid,Xpts'exw,x̲pts'exw,163
1,ROOT;PL,Xbits'iixw,afraid.PL,Xbits'iixw.PL,x̲bits'iixw,163
2,ROOT;1SG.II,Xpts'ewi'y,afraid-1SG.II,Xpts'exw-1SG.II,x̲pts'exw-'y,163
0,ROOT,baas,fear,baas,baasx,164
1,ROOT;3PL.II,baasxdiit,fear-3PL.II,baasx-3PL.II,baasx-diit,164
2,ROOT;TR;1SG.II,baasxi'y,fear-TR-1SG.II,baasx-TR-1SG.II,baasx-i-'y,164
0,ROOT,baGadil,two.HUM,baGadil,bag̲adil,165
1,ROOT;SX,baGadilt,two.HUM-SX,baGadil-SX,bag̲adil-it,165
2,ROOT;3PL,baGadilda,two.HUM-3PL,baGadil-3PL,bag̲adil-da,165
3,ROOT;ATTR,baGadilim,two.HUM-ATTR,baGadil-ATTR,bag̲adil-m,165
4,ROOT;1PL.II,baGadili'm,two.HUM-1PL.II,baGadil-1PL.II,bag̲adil-'m,165
0,ROOT,t'aX,lake,t'aX,t'ax̲,166
1,ROOT;PL,dit'aX,PL~lake,PL~t'aX,CV~t'ax̲,166
2,ROOT;ATTR,t'aham,lake-ATTR,t'aX-ATTR,t'ax̲-m,166
3,ROOT;3.II,t'aXt,lake-3.II,t'aX-3.II,t'ax̲-t,166
4,ROOT;3PL.II,t'aXdiit,lake-3PL.II,t'aX-3PL.II,t'ax̲-diit,166
0,ROOT,laaGal,examine,laaGal,laag̲al,167
1,ROOT;3.II,laaGalt,examine-3.II,laaGal-3.II,laag̲al-t,167
0,ROOT,gyoo,move.in.water,gyoo,gyoo,168
1,ROOT;PL,loo,move.in.water.PL,loo.PL,loo,168
2,ROOT;3.II,gyoot,move.in.water-3.II,gyoo-3.II,gyoo-t,168
3,ROOT;PL;3.II,loot,move.in.water.PL-3.II,loo.PL-3.II,loo-t,168
4,ROOT;PL;3PL.II,loodiit,move.in.water.PL-3PL.II,loo.PL-3PL.II,loo-diit,168
0,ROOT,gilbil,two,gilbil,gilbil,169
1,ROOT;SX,gilbilt,two-SX,gilbil-SX,gilbil-it,169
0,ROOT,halaakw,do.something.to,halaakw,halaakw,170
2,ROOT;3PL.II,halaakwdiit,do.something.to-3PL.II,halaakw-3PL.II,halaakw-diit,170
0,ROOT,ayukws,crest,ayukws,ayukws,171
1,ROOT;ATTR,ayukwsim,crest-ATTR,ayukws-ATTR,ayukws-m,171
2,ROOT;3.II,ayukwst,crest-3.II,ayukws-3.II,ayukws-t,171
3,ROOT;1PL.II,ayukwsi'm,crest-1PL.II,ayukws-1PL.II,ayukws-'m,171
4,ROOT;3PL.II,ayukwsdiit,crest-3PL.II,ayukws-3PL.II,ayukws-diit,171
0,ROOT,ha'w,go.home,ha'w,ha'w,172
1,ROOT;3.II,ha'wit,go.home-3.II,ha'w-3.II,ha'w-t,172
4,ROOT;1PL.II,ha'wi'm,go.home-1PL.II,ha'w-1PL.II,ha'w-'m,172
5,ROOT;3PL.II,ha'wdiit,go.home-3PL.II,ha'w-3PL.II,ha'w-diit,172
6,ROOT;1SG.II,ha'wi'y,go.home-1SG.II,ha'w-1SG.II,ha'w-'y,172
0,ROOT,Goot,heart,Goot,g̲oot,173
1,ROOT;3.II,Goott,heart-3.II,Goot-3.II,g̲oot-t,173
2,ROOT;1PL.II,Goodi'm,heart-1PL.II,Goot-1PL.II,g̲oot-'m,173
3,ROOT;3PL.II,Gootdiit,heart-3PL.II,Goot-3PL.II,g̲oot-diit,173
4,ROOT;2SG.II,Goodin,heart-2SG.II,Goot-2SG.II,g̲oot-n,173
5,ROOT;1SG.II,Goodi'y,heart-1SG.II,Goot-1SG.II,g̲oot-'y,173
6,ROOT;PL;3.II,GaGoott,PL~heart-3.II,PL~Goot-3.II,CV~g̲oot-t,173
8,ROOT;PL;3PL.II,GaGootdiit,PL~heart-3PL.II,PL~Goot-3PL.II,CV~g̲oot-diit,173
0,ROOT,guslis,cross.child,guslis,guslis,174
2,ROOT;3PL.II,guslisdiit,cross.child-3PL.II,guslis-3PL.II,gwislis-diit,174
0,ROOT,jem,coo,jem,jem,177
2,ROOT;3PL.II,jemdiit,cook-3PL.II,jem-3PL.II,jem-diit,177
1,ROOT,helt,much,hilt,helt,180
2,ROOT;ATTR,heldim,much-ATTR,hilt-ATTR,helt-m,180
0,ROOT,hlibuu,few,hlibuu,hlibuu,181
1,ROOT;3.II,hlibuut,few-3.II,hlibuu-3.II,hlibuu-t,181
0,ROOT,is,pee,is,is,182
1,ROOT;3.II,ist,pee-3.II,is-3.II,is-t,182
0,ROOT,'maXs,pants,'maXs,'max̲s,183
1,ROOT;ATTR,'maXsim,pants-ATTR,'maXs-ATTR,'max̲s-m,183
2,ROOT;3.II,'maXst,pants-3.II,'maXs-3.II,'max̲s-t,183
0,ROOT,nigwoot,father,nigwoot,nigwoot,184
1,ROOT;3.II,nigwoott,father-3.II,nigwoot-3.II,nigwoot-t,184
2,ROOT;1PL.II,nigwoodi'm,father-1PL.II,nigwoot-1PL.II,nigwoot-'m,184
3,ROOT;3PL.II,nigwootdiit,father-3PL.II,nigwoot-3PL.II,nigwoot-diit,184
4,ROOT;1SG.II,nigwoodi'y,father-1SG.II,nigwoot-1SG.II,nigwoot-'y,184
0,ROOT,gwila,blanket,gwila,gwila,185
1,ROOT;3.II,gwilat,blanket-3.II,gwila-3.II,gwila-t,185
2,ROOT;PL;3PL.II,gwiiladiit,blanket.PL-3PL.II,_,gwiila-diit,185
0,ROOT,k'i'lixs,alone,k'i'lixs,k'i'lixs,186
1,ROOT;1PL.II,k'i'lixsi'm,alone-1PL.II,k'i'lixs-1PL.II,k'i'lixs-'m,186
0,ROOT,umKxw,dislike,umKxw,umk̲xw,188
1,ROOT;3.II,umKxwt,dislike-3.II,umKxw-3.II,umk̲xw-t,188
0,ROOT,jehl,eat.up,jehl,jehl,189
2,ROOT;3.II,jat,eat.up-3.II,jehl-3.II,jahl-t,189
3,ROOT;TR;3.II,jehlit,eat.up-TR-3.II,jehl-TR-3.II,jehl-i-t,189
4,ROOT;PL;TR;3.II,jisjahlit,PL~eat.up-TR-3.II,PL~jehl-TR-3.II,CVC~jahl-i-t,189
0,ROOT,etxw,call.out,etxw,etxw,192
1,ROOT;3PL.II,etxwdiit,call.out-3PL.II,etxw-3PL.II,etxw-diit,192
0,ROOT,miyuxws,good.smell,miyuxws,miyuxws,195
1,ROOT;3.II,miyuxwst,good.smell-3.II,miyuxws-3.II,miyuxws-t,195
0,ROOT,ts'ak',dish,ts'ak',ts'ak',196
1,ROOT;3.II,ts'ak't,dish-3.II,ts'ak'-3.II,ts'ak'-t,196
0,ROOT,'masxw,fart,'masxw,'masxw,198
1,ROOT;3.II,'masxwt,fart-3.II,'masxw-3.II,'masxw-t,198
0,ROOT,ts'ehlX,laugh,ts'ehlX,ts'ehlx̲,201
1,ROOT;PL,hishalaagaX,laugh.PL,hishalaagaX.PL,hishalaagax̲,201
2,ROOT;3PL.II,ts'ehlXdiit,laugh-3PL.II,ts'ehlX-3PL.II,ts'ehlx̲-diit,201
3,ROOT;PL;3PL.II,hishalaagaXdiit,laugh.PL-3PL.II,hishalaagaX.PL-3PL.II,hishalaagax̲-diit,201
0,ROOT,Gan,tree,Gan,g̲an,202
1,ROOT;PL,GanGan,PL~tree,PL~Gan,g̲an~g̲an,202
0,ROOT,gaks,peaceful,gaks,gaks,204
1,ROOT;3.II,gakst,peaceful-3.II,gaks-3.II,gaks-t,204
0,ROOT,xsaxw,go.out,xsaxw,xsaxw,206
1,ROOT;PL,xseeK,go.out.PL,xseeK.PL,xseek̲,206
2,ROOT;3.II,xsaxwt,go.out-3.II,xsaxw-3.II,xsaxw-t,206
3,ROOT;1SG.II,xsawi'y,go.out-1SG.II,xsaxw-1SG.II,xsaxw-'y,206
0,ROOT,woK,sleep,woK,wok̲,207
1,ROOT;PL,woowaX,sleep.PL,woowaX.PL,woowax̲,207
2,ROOT;3.II,woKt,sleep-3.II,woK-3.II,wok̲-t,207
3,ROOT;PL;1PL.II,woowaXa'm,sleep.PL-1PL.II,woowaX.PL-1PL.II,woowax̲-'m,207
0,ROOT,gi'y,look.for,gi'y,gi'y,210
1,ROOT;3.II,gi'yt,look.for-3.II,gi'y-3.II,gi'y-t,210
2,ROOT;PL;3PL.II,gigi'ydiit,PL~look.for-3PL.II,PL~gi'y-3PL.II,CV~gi'y-diit,210
0,ROOT,ban,belly,ben,ban,212
2,ROOT;3.II,bant,belly-3.II,ben-3.II,ban-t,212
0,ROOT,yooK,eat,yooK,yook̲,213
2,ROOT;PL,tXooK,eat.PL,tXooK.PL,tx̲ook̲,213
3,ROOT;3.II,gupt,eat-3.II,yooK-3.II,gup-t,213
4,ROOT;TR;3.II,gubit,eat-TR-3.II,yooK-TR-3.II,gup-i-t,213
0,ROOT,hahle'lst,wor,hahle'lst,hahle'lst,215
4,ROOT;SX,hahle'lsit,work-SX,hahle'lst-SX,hahle'ls-it,215
5,ROOT;3.II,hahle'lst,work-3.II,hahle'lst-3.II,hahle'ls-t,215
6,ROOT;1PL.II,hahla'lsdi'm,work-1PL.II,hahle'lst-1PL.II,hahla'lst-'m,215
8,ROOT;3PL.II,hahle'lsdiit,work-3PL.II,hahle'lst-3PL.II,hahle'ls-diit,215
10,ROOT;1SG.II,hahla'lsdi'y,work-1SG.II,hahle'lst-1SG.II,hahla'lst-'y,215
0,ROOT,sdil,accompany,sdil,sdil,216
1,ROOT;3.II,sdilt,accompany-3.II,sdil-3.II,sdil-t,216
2,ROOT;1PL.II,sdili'm,accompany-1PL.II,sdil-1PL.II,sdil-'m,216
3,ROOT;3PL.II,sdildiit,accompany-3PL.II,sdil-3PL.II,sdil-diit,216
1,ROOT,gwile'l,three,gwile'l,gwile'l,219
2,ROOT;SX,gwile'lt,three-SX,gwile'l-SX,gwile'l-it,219
0,ROOT,mail,mail,mail,mail,221
1,ROOT;1SG.II,mail'y,mail-1SG.II,mail-1SG.II,mail-'y,221
0,ROOT,t'ekw,twist,t'ekw,t'ekw,222
1,ROOT;3.II,t'ekwt,twist-3.II,t'ekw-3.II,t'ekw-t,222
0,ROOT,K'aK,open,K'aK,k̲'ak̲,224
1,ROOT;3.II,K'aKt,open-3.II,K'aK-3.II,k̲'ak̲-t,224
0,ROOT,nee,not.so,nee,nee,225
1,ROOT;3.II,neet,not.so-3.II,nee-3.II,nee-t,225
0,ROOT,office,office,office,office,228
1,ROOT;1SG.II,office'y,office-1SG.II,office-1SG.II,office-'y,228
0,ROOT,ts'uuts',bird,ts'uuts',ts'uuts',230
1,ROOT;3.II,ts'uuts't,bird-3.II,ts'uuts'-3.II,ts'uuts'-t,230
0,ROOT,looy,slow.swim,looy,looyk,233
1,ROOT;3.II,looykt,slow.swim-3.II,looyk-3.II,looyk-t,233
0,ROOT,Xbaa'w,jaw,Xbaa'w,x̲baa'w,236
1,ROOT;3.II,Xbaa'wt,jaw-3.II,Xbaa'w-3.II,x̲baa'w-t,236
0,ROOT,Getxw,difficult,Getxw,g̲etxw,238
1,ROOT;3.II,Getxwt,difficult-3.II,Getxw-3.II,g̲etxw-t,238
0,ROOT,hlo'o,appear,hlo'o,hlo'o,240
1,ROOT;3PL.II,hlo'odiit,appear-3PL.II,hlo'o-3PL.II,hlo'o-diit,240
1,ROOT,gwelkw,dry,gwelkw,gwelkw,242
3,ROOT;ATTR,gwelgwa,dry-ATTR,gwelkw-ATTR,gwelkw-a,242
4,ROOT;3.II,gwelkwt,dry-3.II,gwelkw-3.II,gwelkw-t,242
0,ROOT,Gaseexw,in.front.of,Gaseexw,g̲aseexw,246
1,ROOT;3.II,Gaseexwt,in.front.of-3.II,Gaseexw-3.II,g̲aseexw-t,246
0,ROOT,Xsdaa,win,Xsdaa,x̲sdaa,249
1,ROOT;SX,Xsdaat,win-SX,Xsdaa-SX,x̲sdaa-it,249
2,ROOT;3.II,Xsdaat,win-3.II,Xsdaa-3.II,x̲sdaa-t,249
3,ROOT;3PL.II,Xsdaadiit,win-3PL.II,Xsdaa-3PL.II,x̲sdaa-diit,249
0,ROOT,twa'lixs,mi,twa'lixs,twa'lixs,255
1,ROOT;3.II,twa'lixst,mix-3.II,twa'lixs-3.II,twa'lixs-t,255
0,ROOT,'man,rub,'man,'man,259
1,ROOT;3.II,'mant,rub-3.II,'man-3.II,'man-t,259
0,ROOT,mihl,burn,mihl,mihl,260
1,ROOT;3.II,mihlt,burn-3.II,mihl-3.II,mihl-t,260
